title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from,resolved_at,error
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,10.1145/3334480.3375152,doi_dedup___::d6e852c046563ed5d56f8270ef162324,https://dx.doi.org/10.1145/3334480.3375152,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:38.398508+00:00,
CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,10.1145/3334480.3375152,doi_dedup___::d6e852c046563ed5d56f8270ef162324,https://dx.doi.org/10.1145/3334480.3375152,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:38.398511+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,doi_dedup___::658e2fa39e74cd53c6bf93954b8817ca,https://doi.org/10.1145/3613904.3642542,true,OPEN,hybrid,CC BY,Article,Unknown Repository,Crossref,2026-08-31T01:27:39.721804+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,doi_dedup___::658e2fa39e74cd53c6bf93954b8817ca,https://dx.doi.org/10.48550/arxiv.2401.14746,false,,,CC BY,Article,Unknown Repository,Datacite,2026-08-31T01:27:39.721818+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,doi_dedup___::658e2fa39e74cd53c6bf93954b8817ca,http://arxiv.org/abs/2401.14746,true,OPEN,,,Preprint,arXiv.org e-Print Archive,arXiv.org e-Print Archive,2026-08-31T01:27:39.721822+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,doi_dedup___::658e2fa39e74cd53c6bf93954b8817ca,https://doi.org/10.48550/arXiv.2401.14746,false,,,,Preprint,DBLP,DBLP,2026-08-31T01:27:39.721825+00:00,
Listening to the Voices: Describing Ethical Caveats of Conversational User Interfaces According to Experts and Frequent Users,10.1145/3613904.3642542,doi_dedup___::658e2fa39e74cd53c6bf93954b8817ca,https://doi.org/10.1145/3613904.3642542,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:39.721832+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,doi_dedup___::b8a1cf5942696c843d61f9c43c5cd7df,https://doi.org/10.1145/3406865.3418587,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:40.989891+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,doi_dedup___::b8a1cf5942696c843d61f9c43c5cd7df,https://cronfa.swan.ac.uk/Record/cronfa54807/Download/54807__17998__26c9262647e646a9b7d6ac2e7272a5b0.pdf,true,OPEN,green,,Article,Unknown Repository,UnpayWall,2026-08-31T01:27:40.989916+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,doi_dedup___::b8a1cf5942696c843d61f9c43c5cd7df,https://doi.org/10.1145/3406865.3418587,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:40.989924+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,doi_dedup___::b8a1cf5942696c843d61f9c43c5cd7df,https://dx.doi.org/10.1145/3406865.3418587,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:40.989929+00:00,
CUI@CSCW: Collaborating through Conversational User Interfaces,10.1145/3406865.3418587,doi_dedup___::b8a1cf5942696c843d61f9c43c5cd7df,https://dx.doi.org/10.1145/3406865.3418587,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:40.989934+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,doi_dedup___::708d3eae9bd8697169ed4c9373f60544,https://doi.org/10.1145/3430263.3452431,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:42.009963+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,doi_dedup___::708d3eae9bd8697169ed4c9373f60544,http://oro.open.ac.uk/75438/1/ADMINS%20w4all.pdf,true,OPEN,green,CC BY NC ND,Article,Unknown Repository,UnpayWall,2026-08-31T01:27:42.009979+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,doi_dedup___::708d3eae9bd8697169ed4c9373f60544,https://doi.org/10.1145/3430263.3452431,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:42.009983+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,doi_dedup___::708d3eae9bd8697169ed4c9373f60544,https://dx.doi.org/10.1145/3430263.3452431,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:42.009986+00:00,
Implementing an accessible conversational user interface,10.1145/3430263.3452431,doi_dedup___::708d3eae9bd8697169ed4c9373f60544,https://dx.doi.org/10.1145/3430263.3452431,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:42.009997+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,doi_dedup___::b3e78c3de475562fb84d35bdbca7833e,https://doi.org/10.1145/3411763.3441336,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:43.299423+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,doi_dedup___::b3e78c3de475562fb84d35bdbca7833e,https://cronfa.swan.ac.uk/Record/cronfa56148/Download/56148__19207__5d0813b2ab1344a78a29c1a19b8410a0.pdf,true,OPEN,green,,Article,Unknown Repository,UnpayWall,2026-08-31T01:27:43.299441+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,doi_dedup___::b3e78c3de475562fb84d35bdbca7833e,https://doi.org/10.1145/3411763.3441336,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:43.299447+00:00,
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,doi_dedup___::b3e78c3de475562fb84d35bdbca7833e,https://dx.doi.org/10.1145/3411763.3441336,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:43.299455+00:00,
