run_id,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,citation_relation
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W4392661960,https://doi.org/10.1145/3610978.3641112,A Multi-party Conversational Social Robot Using LLMs,2024,,conference-paper,,https://doi.org/10.1145/3610978.3641112,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W4401414422,https://doi.org/10.1109/icra57147.2024.10611218,Toward Grounded Commonsense Reasoning,2024,,conference-paper,,https://doi.org/10.1109/icra57147.2024.10611218,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W6948966457,https://doi.org/10.5281/zenodo.10256836,EleutherAI/lm-evaluation-harness: Major refactor,2023,,software,,https://doi.org/10.5281/zenodo.10256836,,,,2,5,termos=6; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W4409729774,https://doi.org/10.3390/app15094687,Using Large Language Models for Goal-Oriented Dialogue Systems,2025,,article,,https://doi.org/10.3390/app15094687,https://www.mdpi.com/2076-3417/15/9/4687/pdf?version=1745418799,,,2,5,termos=6; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W7125810590,https://doi.org/10.1109/exp.at2565440.2025.11348564,LLM-Powered Social Robots for an Indoor Navigation Assistant,2025,,conference-paper,,https://doi.org/10.1109/exp.at2565440.2025.11348564,,,,2,5,termos=5; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W7125964045,https://doi.org/10.1109/smc58881.2025.11343491,Orlock: A Modular Agent for Natural Interaction in Indoor Navigation,2025,,conference-paper,,https://doi.org/10.1109/smc58881.2025.11343491,,,,2,5,termos=5; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2099466450,https://doi.org/10.1177/1046878108328087,Serious Video Games for Health: How Behavioral Science Guided the Development of a Serious Video Game,2008,,article,,https://doi.org/10.1177/1046878108328087,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2490812900,https://doi.org/10.1007/978-3-319-04093-6,The Onlife Manifesto,2014,,book,,https://doi.org/10.1007/978-3-319-04093-6,https://link.springer.com/content/pdf/10.1007/978-3-319-04093-6.pdf?pdf=button,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2595127189,https://doi.org/10.21125/inted.2017.0729,INTRODUCTION TO DECISION BASED LEARNING,2017,,conference-paper,,https://doi.org/10.21125/inted.2017.0729,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2791172249,https://doi.org/10.1080/13669877.2018.1443491,The fake news game: actively inoculating against the risk of misinformation,2018,,article,,https://doi.org/10.1080/13669877.2018.1443491,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
