corpus_id,title,doi,openalex_id,location_number,is_oa,landing_url,pdf_url,license,version,source_name,source_type
DCM-06558,Nonlinear Interaction with LLMs: Enhancing Divergent and Convergent Processes in Complex Information Tasks,10.1080/10447318.2026.2633738,https://openalex.org/W7140545461,1,false,https://doi.org/10.1080/10447318.2026.2633738,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06559,Predicting and Exploring Abandonment Signals in a Banking Task-Oriented Chatbot Service,10.1080/10447318.2023.2282220,https://openalex.org/W4388830137,1,false,https://doi.org/10.1080/10447318.2023.2282220,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06561,Towards Enabling Inclusive Conversations: Bridging Accessibility Gaps for the Visually Impaired in a Chatbot Web Chat,10.1145/3702038.3702110,https://openalex.org/W4405585636,1,false,https://doi.org/10.1145/3702038.3702110,,,publishedVersion,,
DCM-06562,AI Bots: Navigating the Next Wave of Innovation,10.1109/iceect61758.2024.10738911,https://openalex.org/W4404035780,1,false,http://dx.doi.org/10.1109/iceect61758.2024.10738911,,,publishedVersion,,
DCM-06564,AI credibility and customer satisfaction: a neuroscience-based approach,10.1108/jcm-10-2024-7280,https://openalex.org/W4413311959,1,false,https://doi.org/10.1108/jcm-10-2024-7280,,,publishedVersion,Journal of Consumer Marketing,journal
DCM-06565,Is Social Presence in Banking Chatbots Relevant? A Multidimensional Multi-analytic Approach,10.1177/09721509251410702,https://openalex.org/W7124437639,1,false,https://doi.org/10.1177/09721509251410702,,,publishedVersion,Global Business Review,journal
DCM-06567,Unveiling Quality in Chatbot Conversations: Quantitative Analysis of Chatbot Requirements,10.1145/3629479.3629481,https://openalex.org/W4389368936,1,false,https://doi.org/10.1145/3629479.3629481,,,publishedVersion,,
DCM-06568,Chatbot Usability Scale in Chinese Users: Cross-Cultural Adaptation and Validation Study,10.2196/84971,https://openalex.org/W7130564179,1,true,https://doi.org/10.2196/84971,,cc-by,publishedVersion,JMIR Human Factors,journal
DCM-06568,Chatbot Usability Scale in Chinese Users: Cross-Cultural Adaptation and Validation Study,10.2196/84971,https://openalex.org/W7130564179,2,false,https://pubmed.ncbi.nlm.nih.gov/41941564,,,publishedVersion,PubMed,repository
DCM-06568,Chatbot Usability Scale in Chinese Users: Cross-Cultural Adaptation and Validation Study,10.2196/84971,https://openalex.org/W7130564179,3,true,https://doaj.org/article/5ecb9a14fb9b47b197308f4eaea71f95,,cc-by-sa,submittedVersion,DOAJ (DOAJ: Directory of Open Access Journals),repository
DCM-06568,Chatbot Usability Scale in Chinese Users: Cross-Cultural Adaptation and Validation Study,10.2196/84971,https://openalex.org/W7130564179,4,true,https://pmc.ncbi.nlm.nih.gov/articles/PMC13052771/,,cc-by,submittedVersion,PubMed Central,repository
