corpus_id,bibliographic_status,document_status,run_id,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,source_pdf_url,license,oa_status,ontology_score,screening_state,download_attempts,validated_local_path,document_manifest
DCM-01010,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.47330/dcio.2021.zwzf7054,10.47330/dcio.2021.zwzf7054,Design Interfaces with VR,2021,David Swapp,proceedings-article,"<jats:p>Virtual Reality (VR) is maturing as a technology. Now that mainstream head-mounted displays (HMDs) are consumer-affordable, the space of application development has begun in earnest. Some of this development transitions existing applications (e.g. computer games) to work with a 3D tracked interface while others explore completely novel and innovative uses of VR. The idea of using VR in architectural practice has a long history. As a tool with the potential to allow 3D visualisation at 1:1scale, the use-case for architectural visualisation has seemed natural and obvious since the early days of the technology. However, the realisation of this idea was not initially straightforward. In 2000 UCL built a CAVE-like VR projection theatre – this is a 3m x 3m room where three of the four walls and the floor are stereo displays, viewed through tracked stereo glasses allowing perspective-correct stereo views. This was driven by a state-of-the-art SGI computer, many times more powerful than any standard PC (and about 20 times the size). However, despite this vast graphics processing power, most architectural models, could not easily be adapted to this new technology. These models had been designed for accurate renderings of detailed geometry. Twenty minutes of processing with standard computer graphics applications on a desktop PC could produce a beautiful rendering of a view into this model, but VR demands real-time frame rates (ideally at least 60 frames per second) and the models were simply too large and detailed for this. These tensions between designs for single viewpoint renderings and designs for real-time rendering are now better understood, and advances in both graphics hardware and software have improved this situation. However recent trends in consumer VR towards standalone headsets mean that simulations are now driven by the same graphics processors that drive the mobile devices in our pockets. Aside from these technical hurdles, the cost has been the main contributing factor to the relatively slow uptake of VR as a tool for exploring design, but now that we have affordable devices available, what are the factors that still hinder progress?</jats:p>",https://doi.org/10.47330/dcio.2021.zwzf7054,,,,0,screening-required,0,,
DCM-01011,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.3166/rin.1.91-106,10.3166/rin.1.91-106,Qu'appelle­t­on « design numérique » ?,2012,Stéphane Vial,journal-article,,https://doi.org/10.3166/rin.1.91-106,,,,0,screening-required,0,,
DCM-01012,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.5040/9781350068308.ch-004,10.5040/9781350068308.ch-004,Ethical interfaces,2021,,other,,https://doi.org/10.5040/9781350068308.ch-004,,,,0,screening-required,0,,
DCM-01013,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.5040/9781350068308.ch-002,10.5040/9781350068308.ch-002,Social interfaces,2021,,other,,https://doi.org/10.5040/9781350068308.ch-002,,,,0,screening-required,0,,
DCM-01014,estudo-unico-descoberto,pdf-recebido-a-validar,20260831T003810Z,Crossref,10.2172/5791,10.2172/5791,High Integrity Can Design Interfaces,1998,E.L. Shaber,report,,https://doi.org/10.2172/5791,,,,0,screening-required,1,,
DCM-01015,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1021/acs.jpclett.6c01070.s001,10.1021/acs.jpclett.6c01070.s001,Design Principles for Nanobubble Regulation on Electrocatalytic Interfaces,,,component,,https://doi.org/10.1021/acs.jpclett.6c01070.s001,,,,0,screening-required,0,,
DCM-01016,estudo-unico-descoberto,sem-url-pdf-resolucao-pendente,20260831T003810Z,Crossref,10.1007/0-387-36495-1_10,10.1007/0-387-36495-1_10,SystemVerilog Interfaces,,,book-chapter,,https://doi.org/10.1007/0-387-36495-1_10,,,,0,screening-required,0,,
DCM-01017,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.6035/recerca.8402,10.6035/recerca.8402,"Interfaces conversacionales, tecnolenguajes y tecnodesigualdades; Conversational interfaces, tehcnolanguages and technoin-equalities",2025,Raúl Tabarés Gutiérrez,journal-article,"<jats:p>Las interfaces conversacionales (IC) posibilitadas por tecnologías de inteligencia artificial (IA) prometen reconfigurar nuestra relación con los sistemas de computación a través del habla y el lenguaje humano como una forma más natural de comunicación entre humanos y máquinas. A través de la filosofía de las tecnopersonas el texto explora cómo las IC son impulsadas por las plataformas digitales para promover una reconfiguración del dominio social en base a las posibilidades que presentan las tecnologías de IA para la expansión de su poder. Esta reconfiguración también implica cambios en el lenguaje humano y el desarrollo asociado de tecnodesigualdades; es decir, desigualdades facilitadas y ampliadas por el desarrollo tecnológico. Se identifican cuatro áreas de tecnodesigualdad asociadas al desarrollo de las IC en materia de diversidad lingüística, igualdad de género, precariedad y explotación laboral, y sostenibilidad ambiental. </jats:p>",https://doi.org/10.6035/recerca.8402,https://www.e-revistes.uji.es/index.php/recerca/article/download/8402/8699,,,3,screening-required,1,library/staging/master/DCM-01017-Interfaces-conversacionales-tecnolenguajes-y-tecnodesigualdades-Conversational-i.pdf,data/document-resolution/master/validated-documents.csv
DCM-01018,estudo-unico-descoberto,pdf-integral-validado-local,20260831T003810Z,Crossref,10.18682/cdc.vi224.11300,10.18682/cdc.vi224.11300,Diseño de Interfaces digitales en las emociones del usuario: Parámetros importantes para un diseño efectivo,2024,Alejandra Maricela Gallardo Cárdenas,journal-article,"<jats:p> Las personas nos conectamos constantemente a plataformas digitales utilizando interfaces en nuestro tiempo libre como en el área laboral, por eso la importancia de crear productos digitales efectivos que contribuyan a la usabilidad, experiencia de usuario, productividad, reducción de errores, accesibilidad manteniendo como principio que un buen diseño, marca la diferencia y promueve a la satisfacción del usuario.</jats:p>",https://doi.org/10.18682/cdc.vi224.11300,https://dspace.palermo.edu/ojs/index.php/cdc/article/download/11300/19447,,,0,screening-required,1,library/staging/master/DCM-01018-Dise-o-de-Interfaces-digitales-en-las-emociones-del-usuario-Par-metros-important.pdf,data/document-resolution/master/validated-documents.csv
DCM-01019,estudo-unico-descoberto,recuperacao-tentada-sem-pdf-valido,20260831T003810Z,Crossref,10.33324/daya.v0i5.189,10.33324/daya.v0i5.189,DISEÑO DE INTERFACES GRÁFICAS PARA RECURSOS DIDÁCTICOS DIGITALES,2018,Fabián Cordero,journal-article,,https://doi.org/10.33324/daya.v0i5.189,,,,0,screening-required,1,,
