record_id,title,doi,pdf_path,text_path,pages,pages_with_text,page_errors,characters,text_sha256,extraction_status
DCM-00977,Marcadores conversacionais na interlíngua de aprendizes de espanhol no Brasil,10.11606/t.8.2007.tde-22102007-115052,library\staging\master-openalex\DCM-00977-OA001-Marcadores-conversacionais-na-interl-ngua-de-aprendizes-de-espanh.pdf,extracted-text\local-only\master-openalex\DCM-00977-OA001-Marcadores-conversacionais-na-interl-ngua-de-aprendizes-de-espanh.txt,221,221,0,359638,8530f83c7364e2e3496528c694887399c6864888a6fd8d1d39a71184b02eb683,complete
DCM-00980,Recursos conversacionais para a clínica ampliada com famílias em saúde mental,10.11606/t.59.2017.tde-23052017-090038,library\staging\master-openalex\DCM-00980-OA001-Recursos-conversacionais-para-a-cl-nica-ampliada-com-fam-lias-em-.pdf,extracted-text\local-only\master-openalex\DCM-00980-OA001-Recursos-conversacionais-para-a-cl-nica-ampliada-com-fam-lias-em-.txt,145,145,0,351332,331a00c8fd9717646d057dbcdcc57dbe1f3ca6e22928af4280356f00382eb470,complete
DCM-00981,AGENTES CONVERSACIONAIS NO ENSINO-APRENDIZAGEM DE LÍNGUAS,10.17771/pucrio.pdpe.16059,library\staging\master-openalex\DCM-00981-OA001-AGENTES-CONVERSACIONAIS-NO-ENSINO-APRENDIZAGEM-DE-L-NGUAS.pdf,extracted-text\local-only\master-openalex\DCM-00981-OA001-AGENTES-CONVERSACIONAIS-NO-ENSINO-APRENDIZAGEM-DE-L-NGUAS.txt,15,15,0,31289,677d77465e015fce3b38fbd85a42f62ec19577b8b67d3d5d33614d25ce353544,complete
DCM-00985,CUMPRIMENTOS E DESPEDIDAS COMO RITUAIS CONVERSACIONAIS,10.17771/pucrio.escrita.6187,library\staging\master-openalex\DCM-00985-OA001-CUMPRIMENTOS-E-DESPEDIDAS-COMO-RITUAIS-CONVERSACIONAIS.pdf,extracted-text\local-only\master-openalex\DCM-00985-OA001-CUMPRIMENTOS-E-DESPEDIDAS-COMO-RITUAIS-CONVERSACIONAIS.txt,11,11,0,33121,ce07e2ee1c81390b237b782c542b54ff2510f6d1af2b6ba4f159ff76980df471,complete
DCM-00991,ANÁLISE DA PROPAGANDA ORAL À LUZ DOS ESTUDOS RETÓRICO-CONVERSACIONAIS,10.22533/at.ed.89518221115,library\staging\master-openalex\DCM-00991-OA002-AN-LISE-DA-PROPAGANDA-ORAL-LUZ-DOS-ESTUDOS-RET-RICO-CONVERSACIONA.pdf,extracted-text\local-only\master-openalex\DCM-00991-OA002-AN-LISE-DA-PROPAGANDA-ORAL-LUZ-DOS-ESTUDOS-RET-RICO-CONVERSACIONA.txt,15,15,0,37327,caa0ccb02b926c667c8b0cfb1cae4f4d69c8df0b0e4935c900d78feafdc4d1a2,complete
DCM-00995,A detecção de implicaturas conversacionais da ironia em textos de redes sociais através do aprendizado de máquina para português,10.11606/d.45.2018.tde-20230727-113522,library\staging\master-openalex\DCM-00995-OA001-A-detec-o-de-implicaturas-conversacionais-da-ironia-em-textos-de-.pdf,extracted-text\local-only\master-openalex\DCM-00995-OA001-A-detec-o-de-implicaturas-conversacionais-da-ironia-em-textos-de-.txt,84,84,0,139536,94adc72928f0e134bf6769cc3ff2ea45cf93d323f8df723e8ab46aca83e219fb,complete
DCM-00997,"A COMPLEXIDADE INTERACIONAL NA CENTRAL DE RESERVAS DE UMA COMPANHIA AÉREA: ENQUADRES, ALINHAMENTOS E SEQÜÊNCIAS CONVERSACIONAIS EM UM CONTEXTO INSTITUCIONAL",10.17771/pucrio.acad.5503,library\staging\master-openalex\DCM-00997-OA001-A-COMPLEXIDADE-INTERACIONAL-NA-CENTRAL-DE-RESERVAS-DE-UMA-COMPANH.pdf,extracted-text\local-only\master-openalex\DCM-00997-OA001-A-COMPLEXIDADE-INTERACIONAL-NA-CENTRAL-DE-RESERVAS-DE-UMA-COMPANH.txt,11,11,0,12386,7393c345e79921999fa7558926948f4c1f73b949da16184d6d87d3d71a94141c,complete
DCM-01021,Interfaces proactivas móviles desde Legacies Web: Un enfoque de diseño conductual,10.35537/10915/144700,library\staging\master-openalex\DCM-01021-OA001-Interfaces-proactivas-m-viles-desde-Legacies-Web-Un-enfoque-de-di.pdf,extracted-text\local-only\master-openalex\DCM-01021-OA001-Interfaces-proactivas-m-viles-desde-Legacies-Web-Un-enfoque-de-di.txt,167,167,0,287881,1228615f7e7083f211a036208bb0b957a27827c17fafa749e345f166a008e484,complete
DCM-01029,Contribución al desarrollo de modelos de arquitectura software para el diseño de interfaces web de usuario inclusivas,10.20868/upm.thesis.68778,library\staging\master-openalex\DCM-01029-OA001-Contribuci-n-al-desarrollo-de-modelos-de-arquitectura-software-pa.pdf,extracted-text\local-only\master-openalex\DCM-01029-OA001-Contribuci-n-al-desarrollo-de-modelos-de-arquitectura-software-pa.txt,219,215,0,429561,10ea950e832e3ebf63da0d5446bd3aa2f8d4ae2364aa92ce2674bd602a6dddbb,partial-page-coverage
DCM-01035,Interfaces narrativas. El pasaje de la producción transmediática al diseño de narrativas,10.35537/10915/134923,library\staging\master-openalex\DCM-01035-OA001-Interfaces-narrativas-El-pasaje-de-la-producci-n-transmedi-tica-a.pdf,extracted-text\local-only\master-openalex\DCM-01035-OA001-Interfaces-narrativas-El-pasaje-de-la-producci-n-transmedi-tica-a.txt,430,430,0,595924,c2dd57ca70588b65f19c58b8ad67fb02e3587fda2f35576b33e6454e81a90305,complete
DCM-01036,La optimización de las capacidades conversacionales del alumnado con sordera con los compañeros de su edad,10.35376/10324/1438,library\staging\master-openalex\DCM-01036-OA001-La-optimizaci-n-de-las-capacidades-conversacionales-del-alumnado-.pdf,extracted-text\local-only\master-openalex\DCM-01036-OA001-La-optimizaci-n-de-las-capacidades-conversacionales-del-alumnado-.txt,571,535,1,1035528,974fede80e1fc1d95b23882c8888d289afcd4443a29d3d5bf20595b3c5df5218,partial-page-coverage
DCM-01045,Mapas conversacionales como estrategia de educación en personas con diabetes para prevenir complicaciones en los pies,10.11606/t.17.2023.tde-30062023-090058,library\staging\master-openalex\DCM-01045-OA001-Mapas-conversacionales-como-estrategia-de-educaci-n-en-personas-c.pdf,extracted-text\local-only\master-openalex\DCM-01045-OA001-Mapas-conversacionales-como-estrategia-de-educaci-n-en-personas-c.txt,216,216,0,403611,abfe4c0f902ad4ca8938d3f8d72647489423db92d9acbe353172f6a83b52ebeb,complete
